pk_asset_id,asset_status,asset_description,address_street,address_door,address_post_code,address_city,asset_region,fk_work_center_id,fk_customer_id,fk_criticality,created_at
1,In service,Asset Description 1,Rue de la Loi,16,1000,Brussels,Brussels,1,1,Good,18/9/2024 22:33
2,In service,Asset Description 2,Avenue Louise,50,1050,Brussels,Brussels,1,1,Adequate,18/9/2024 22:34
3,In service,Asset Description 3,Chaussée de Waterloo,200,1060,Brussels,Brussels,1,1,Bad,18/9/2024 22:34
4,In service,Asset Description 4,Rue Victor Hugo,100,1030,Brussels,Brussels,1,1,Adequate,27/10/2024 15:19
5,In service,Asset Description 5,Avenue de Tervueren,150,1150,Brussels,Brussels,1,1,Good,27/10/2024 15:19
6,In service,Asset Description 6,Boulevard Lambermont,300,1030,Brussels,Brussels,1,2,Good,27/10/2024 20:50
7,In service,Asset Description 7,Rue de la Station,5,1080,Brussels,Brussels,1,2,Adequate,27/10/2024 20:50
8,In service,Asset Description 8,Avenue Charles Quint,25,1082,Brussels,Brussels,1,3,Adequate,27/10/2024 20:50
9,In service,Asset Description 9,Rue de l'Église,10,1081,Brussels,Brussels,1,4,Bad,27/10/2024 20:50
10,In service,Asset Description 10,Chaussée de Gand,400,1080,Brussels,Brussels,1,5,Adequate,27/10/2024 20:50
11,In service,Asset Description 11,Rue de la Paix,15,1140,Brussels,Brussels,1,1,Adequate,1/11/2024 21:17
12,In service,Asset Description 12,Avenue des Cerisiers,20,1200,Brussels,Brussels,1,1,Good,1/11/2024 21:17
13,In service,Asset Description 13,Rue de la Station,8,1210,Brussels,Brussels,1,1,Adequate,1/11/2024 21:17
14,In service,Asset Description 14,Boulevard du Souverain,100,1160,Brussels,Brussels,1,1,Good,1/11/2024 21:17
15,In service,Asset Description 15,Rue de l'Hôtel des Monnaies,30,1060,Brussels,Brussels,1,1,Bad,1/11/2024 21:17
16,In service,Asset Description 16,Avenue de la Couronne,50,1050,Brussels,Brussels,1,2,Good,1/11/2024 21:17
17,In service,Asset Description 17,Rue de la Brasserie,60,1050,Brussels,Brussels,1,2,Bad,1/11/2024 21:17
18,In service,Asset Description 18,Chaussée de Louvain,70,1210,Brussels,Brussels,1,3,Good,1/11/2024 21:17
19,In service,Asset Description 19,Rue de la Loi,200,1040,Brussels,Brussels,1,4,Adequate,1/11/2024 21:17
20,In service,Asset Description 20,Avenue de la Toison d'Or,12,1050,Brussels,Brussels,1,5,Bad,1/11/2024 21:17
21,In service,Asset Description 21,Rue de la Chapelle,5,1000,Brussels,Brussels,1,4,Adequate,1/11/2024 21:25
22,In service,Asset Description 22,Boulevard Anspach,24,1000,Brussels,Brussels,1,5,Bad,1/11/2024 21:25
